Date,Total Transaction #,Total Transaction Fee (USD),Fee per Transaction (USD),Close Price (USD),Fee %
2/25/18,154534,932047.9457,6.031345501,9610.11,0.0628%
2/24/18,185193,751469.2798,4.057762874,9705.73,0.0418%
2/23/18,183235,373430.4276,2.037986343,10175.51,0.0200%
2/22/18,205201,428501.0091,2.088201369,9847.96,0.0212%
2/21/18,198455,594928.4233,2.997800123,10481.66,0.0286%
2/20/18,187367,565638.2495,3.018878722,11256.43,0.0268%
2/19/18,159495,468271.499,2.935963504,11182.28,0.0263%
2/18/18,173789,527340.9642,3.034374812,10417.23,0.0291%
2/17/18,187738,589979.4188,3.142567934,11097.21,0.0283%
2/16/18,198183,639336.577,3.225991013,10188.73,0.0317%
2/15/18,196417,595161.9324,3.030093792,10033.75,0.0302%
2/14/18,182984,589576.8853,3.22201332,9485.64,0.0340%
2/13/18,186918,616527.146,3.29838296,8544.69,0.0386%
2/12/18,147208,516998.7139,3.512028652,8911.27,0.0394%
2/11/18,181783,738768.899,4.064015332,8084.61,0.0503%
2/10/18,177860,754234.5391,4.240608001,8569.29,0.0495%
2/9/18,173289,725043.6556,4.184014309,8696.83,0.0481%
2/8/18,213719,1000515.69,4.681454107,8260.69,0.0567%
2/7/18,244120,1262518.878,5.17171423,7592.72,0.0681%
2/6/18,216363,1188364.088,5.492455217,7701.25,0.0713%
2/5/18,173687,935132.4345,5.384009365,6937.08,0.0776%
2/4/18,194891,1333616.101,6.842881923,8218.05,0.0833%
2/3/18,235918,2442348.73,10.35253236,9251.27,0.1119%
2/2/18,257664,1944067.481,7.544971284,8870.82,0.0851%
2/1/18,204276,1642340.305,8.039810379,9114.72,0.0882%
1/31/18,236609,1632514.29,6.899628882,10226.86,0.0675%
1/30/18,232176,1634257.128,7.038871924,10107.26,0.0696%
1/29/18,213446,1827742.522,8.563020728,11233.95,0.0762%
1/28/18,193578,1939097.767,10.01713917,11767.74,0.0851%
1/27/18,220459,2294141.72,10.40620578,11459.71,0.0908%
1/26/18,236580,2476759.163,10.46901328,11104.2,0.0943%
1/25/18,250423,3198498.79,12.77238428,11175.87,0.1143%
1/24/18,271936,3209324.993,11.80176583,11429.02,0.1033%
1/23/18,245562,3317461.286,13.50966879,10858.23,0.1244%
1/22/18,215622,3950466.108,18.32125714,10814.52,0.1694%
1/21/18,240611,5561112.068,23.11245981,11549.93,0.2001%
1/20/18,243619,5614014.97,23.04424109,12783.94,0.1803%
1/19/18,309495,7452780.625,24.08045566,11521.76,0.2090%
1/18/18,315771,7505013.859,23.7672676,11175.52,0.2127%
1/17/18,303725,6779961.276,22.32269743,11162.7,0.2000%
1/16/18,273623,7147868.044,26.12305268,11282.49,0.2315%
1/15/18,235045,6806278.505,28.95734223,13631.98,0.2124%
1/14/18,265735,7662641.869,28.83565157,13638.63,0.2114%
